,cast,crew,id
0,"['Tom Hanks', 'Tim Allen', 'Don Rickles']",John Lasseter,862
1,"['Robin Williams', 'Jonathan Hyde', 'Kirsten Dunst']",Joe Johnston,8844
2,"['Walter Matthau', 'Jack Lemmon', 'Ann-Margret']",Howard Deutch,15602
3,"['Whitney Houston', 'Angela Bassett', 'Loretta Devine']",Forest Whitaker,31357
4,"['Steve Martin', 'Diane Keaton', 'Martin Short']",Charles Shyer,11862
5,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']",Michael Mann,949
6,"['Harrison Ford', 'Julia Ormond', 'Greg Kinnear']",Sydney Pollack,11860
7,"['Jonathan Taylor Thomas', 'Brad Renfro', 'Rachael Leigh Cook']",Peter Hewitt,45325
8,"['Jean-Claude Van Damme', 'Powers Boothe', 'Dorian Harewood']",Peter Hyams,9091
9,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco']",Martin Campbell,710
10,"['Michael Douglas', 'Annette Bening', 'Michael J. Fox']",Rob Reiner,9087
11,"['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck']",Mel Brooks,12110
12,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']",Simon Wells,21032
13,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe']",Oliver Stone,10858
14,"['Geena Davis', 'Matthew Modine', 'Frank Langella']",Renny Harlin,1408
15,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci']",Martin Scorsese,524
16,"['Kate Winslet', 'Emma Thompson', 'Hugh Grant']",Ang Lee,4584
17,"['Tim Roth', 'Antonio Banderas', 'Jennifer Beals']",Allison Anders,5
18,"['Jim Carrey', 'Ian McNeice', 'Simon Callow']",Steve Oedekerk,9273
19,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez']",Joseph Ruben,11517
20,"['John Travolta', 'Gene Hackman', 'Rene Russo']",Barry Sonnenfeld,8012
21,"['Sigourney Weaver', 'Holly Hunter', 'Will Patton']",Jon Amiel,1710
22,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore']",Richard Donner,9691
23,"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen']",Victor Salva,12665
24,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands']",Mike Figgis,451
25,"['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh']",Oliver Parker,16420
26,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch']",Lesli Linka Glatter,9263
27,"['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood']",Roger Michell,17015
28,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet']",Jean-Pierre Jeunet,902
29,"['Gong Li', 'Li Bao-Tian', 'Wang Xiaoxiao']",Zhang Yimou,37557
30,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance']",John N. Smith,9909
31,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt']",Terry Gilliam,63
32,"['Craig Sheffer', 'Elizabeth McGovern', 'Tom Hulce']",Jean-Jacques Annaud,78802
33,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann']",Chris Noonan,9598
34,"['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington']",Christopher Hampton,47018
35,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky']",Tim Robbins,687
36,"['Peter Reznick', 'John McDonough', 'Avi Hoffman']",Stephen Low,139405
37,"['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen']",Andy Tennant,33689
38,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy']",Amy Heckerling,9603
39,"['James Earl Jones', 'Charles S. Dutton', 'Jack Robinson']",Darrell James Roodt,34615
40,"['Ian McKellen', 'Annette Bening', 'Jim Broadbent']",Richard Loncraine,31174
41,"['Larenz Tate', 'Keith David', 'Chris Tucker']",Albert Hughes,11443
42,"['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill']",Michael Hoffman,35196
43,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby']",Paul W.S. Anderson,9312
44,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix']",Gus Van Sant,577
45,"['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn']",Jocelyn Moorhouse,11861
46,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow']",David Fincher,807
47,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers']",Mike Gabriel,10530
48,"['Pascale Bussières', 'Rachael Crawford', 'Henry Czerny']",Patricia Rozema,8391
49,"['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri']",Bryan Singer,629
50,"['Cynthia Rothrock', 'Marshall R. Teague', 'Daniel McVicar']",Richard W. Munchkin,117164
51,"['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter']",Woody Allen,11448
52,"['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani']",Gianni Amelio,49133
53,"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders']",Holly Goldberg Sloan,26441
54,"['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine']",Ulu Grosbard,97406
55,"['Johnny Morina', 'Malcolm McDowell', 'Maggie Castle']",Robert Tinnell,124057
56,"['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft']",Jodie Foster,9089
57,"['Philippe Noiret', 'Massimo Troisi', 'Maria Grazia Cucinotta']",Michael Radford,11010
58,"['Lothaire Bluteau', 'Patrick Goyette', 'Jean-Louis Millette']",Robert Lepage,99040
59,"['Hal Scardino', 'Litefoot', 'Lindsay Crouse']",Frank Oz,11359
60,"['Sally Field', 'Kiefer Sutherland', 'Ed Harris']",John Schlesinger,17182
61,"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas']",Stephen Herek,2054
62,"['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones']",Paris Barclay,10607
63,"['Sandra Bullock', 'Denis Leary', 'Yaphet Kotto']",Bill Bennett,19760
64,"['Pauly Shore', 'Stephen Baldwin', 'Joey Lauren Adams']",Jason Bloom,9536
65,"['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien""]",Farhad Mann,11525
66,"['Jerry Barone', 'Al Pacino', 'Mary Elizabeth Mastrantonio']",James Foley,40628
67,"['Victoria Abril', 'Josiane Balasko', 'Alain Chabat']",Josiane Balasko,4482
68,"['Ice Cube', 'Chris Tucker', 'Nia Long']",F. Gary Gray,10634
69,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel']",Robert Rodriguez,755
70,"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff']",Andrew Sipes,11859
71,"['Josh Hamilton', ""Olivia d'Abo"", 'Carlos Jacott']",Noah Baumbach,28387
72,"['Jean-Paul Belmondo', 'Michel Boujenah', 'Alessandra Martines']",Claude Lelouch,48750
73,"['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon']",Michael Goldenberg,20927
74,"['Rick Moranis', 'Tom Arnold', 'Julianne Phillips']",Steve Miner,36929
75,"['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin']",Christian Duguay,9102
76,"['Nico', 'Tina Aumont', 'Jackson Browne']",Susanne Ofteringer,124626
77,"['Jack Nicholson', 'David Morse', 'Anjelica Huston']",Sean Penn,27526
78,"['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt']",Brian Gibson,9623
79,"['Aida Mohammadkhani', 'Mohsen Kafili', 'Fereshteh Sadre Orafaiy']",Jafar Panahi,46785
80,"['Andy García', 'Christopher Lloyd', 'William Forsythe']",Gary Fleder,400
81,"['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen']",Marleen Gorris,880
82,"['Al Freeman, Jr.', 'Phylicia Rashād', 'Paula Kelly']",Tim Reid,146599
83,"['Victoria Foyt', 'Viveca Lindfors', 'Jon Robin Baitz']",Henry Jaglom,188588
84,"['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit']",Philip Haas,8447
85,"['Jeff Bridges', 'Caroline Goodall', 'John Savage']",Ridley Scott,10534
86,"['Jason Alexander', 'Faye Dunaway', 'Eric Lloyd']",Ken Kwapis,17414
87,"['Chris Farley', 'David Spade', 'Grant Heslov']",Penelope Spheeris,13997
88,"['Johnny Depp', 'Courtney Chase', 'Charles S. Dutton']",John Badham,2086
89,"['Jason Patric', 'Thandie Newton', 'Larry Drake']",John Duigan,61548
90,"['Julia Roberts', 'John Malkovich', 'George Cole']",Stephen Frears,9095
91,"['Eddie Murphy', 'Angela Bassett', 'Allen Payne']",Wes Craven,12158
92,"['Matt Dillon', 'Noah Emmerich', 'Annabeth Gish']",Ted Demme,9283
93,"['John Travolta', 'Christian Slater', 'Samantha Mathis']",John Woo,9208
94,"['Richard Briers', 'Joan Collins', 'Michael Maloney']",Kenneth Branagh,40154
95,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui']",Mathieu Kassovitz,406
96,"['Sadie Frost', 'Jude Law', 'Sean Pertwee']",Paul W.S. Anderson,45549
97,"['Nick Broomfield', 'Heidi Fleiss', 'Madam Alex']",Nick Broomfield,63076
98,"['Al Pacino', 'John Cusack', 'Bridget Fonda']",Harold Becker,11062
99,"['Luke Wilson', 'Owen Wilson', 'Lumi Cavazos']",Wes Anderson,13685
100,"['Ellen DeGeneres', 'Bill Pullman', 'Joan Cusack']",Nick Castle,47475
101,"['Ray Liotta', 'Linda Fiorentino', 'Peter Coyote']",John Dahl,2045
102,"['Adam Sandler', 'Ben Stiller', 'Christopher McDonald']",Dennis Dugan,9614
103,"['Meryl Streep', 'Clint Eastwood', 'Annie Corley']",Clint Eastwood,688
104,"['Maria Schrader', 'Pierre Sanoussi-Bliss', 'Michael von Au']",Doris Dörrie,11907
105,"['Tim Curry', 'Kevin Bishop', 'Jennifer Saunders']",Brian Henson,10874
106,"['Christy Turlington', 'Azzedine Alaïa', 'Giorgio Armani']",Robert Leacock,89333
107,"['Raymond J. Barry', 'Rustam Branaman', 'Jennifer MacDonald']",James Bruce,96357
108,"['Mel Gibson', 'Catherine McCormack', 'Sophie Marceau']",Mel Gibson,197
109,"['Robert De Niro', 'Cybill Shepherd', 'Harvey Keitel']",Martin Scorsese,103
110,"['Jackie Chan', 'Anita Mui', 'Françoise Yip']",Stanley Tong,33542
111,"['Meryl Streep', 'Liam Neeson', 'Edward Furlong']",Barbet Schroeder,43566
112,"['Helena Bonham Carter', 'Clive Russell', 'Craig Olejnik']",Mort Ransen,71754
113,"['Michel Serrault', 'Eddy Mitchell', 'Sabine Azéma']",Étienne Chatiliez,43612
114,"['Kenneth Branagh', 'Glenn Close']",Jon Blair,51352
115,"['Tobias Arnold', 'Ruth Sheen', 'Roger Lloyd Pack']",Benjamin Ross,16934
